common/job_number/__text,common/job_kind/__text,common/job_name/__text,common/job_result/__text,common/job_result_detail/__text,common/start_time/second/__text,common/start_time/minute/__text,common/start_time/hour/__text,common/start_time/day/__text,common/start_time/month/__text,common/start_time/year/__text,common/start_time/wday/__text,common/start_time/yday/__text,common/start_time/is_dst/__text,common/start_time/time_zone/__text,common/end_time/second/__text,common/end_time/minute/__text,common/end_time/hour/__text,common/end_time/day/__text,common/end_time/month/__text,common/end_time/year/__text,common/end_time/wday/__text,common/end_time/yday/__text,common/end_time/is_dst/__text,common/end_time/time_zone/__text,common/pages/__text,detail/print_color_mode/__text,detail/complete_copies/__text,detail/copies/__text,detail/complete_pages/__text,common/user_name/__text
34786,COPY,doc03478620170524112437,OK,0,37,24,11,24,4,117,3,143,1,-0500,46,24,11,24,4,117,3,143,1,-0500,3,BLACK_AND_WHITE,1,1,3,
34785,COPY,doc03478520170524111121,OK,0,21,11,11,24,4,117,3,143,1,-0500,40,11,11,24,4,117,3,143,1,-0500,10,BLACK_AND_WHITE,1,1,10,
34761,COPY,doc03476120170524105857,OK,0,57,58,10,24,4,117,3,143,1,-0500,3,59,10,24,4,117,3,143,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34756,COPY,doc03475620170524105316,OK,0,16,53,10,24,4,117,3,143,1,-0500,31,53,10,24,4,117,3,143,1,-0500,2,BLACK_AND_WHITE,1,1,2,
34755,COPY,doc03475520170524105234,OK,0,34,52,10,24,4,117,3,143,1,-0500,48,52,10,24,4,117,3,143,1,-0500,2,BLACK_AND_WHITE,1,1,2,
34748,PRINTER,10100 B R Becke 052417 102241418,OK,0,34,28,10,24,4,117,3,143,1,-0500,34,31,10,24,4,117,3,143,1,-0500,3,BLACK_AND_WHITE,1,1,3,abby.cabrera
34750,PRINTER,10100 B R Becke 052417 102437999,OK,0,30,30,10,24,4,117,3,143,1,-0500,14,31,10,24,4,117,3,143,1,-0500,10,BLACK_AND_WHITE,1,1,10,abby.cabrera
34749,PRINTER,10100 B R Becke 052417 102410721,OK,0,3,30,10,24,4,117,3,143,1,-0500,10,30,10,24,4,117,3,143,1,-0500,1,BLACK_AND_WHITE,1,1,1,abby.cabrera
34744,PRINTER,ethics_RRodrigu 052417 101045608,OK,0,39,16,10,24,4,117,3,143,1,-0500,47,16,10,24,4,117,3,143,1,-0500,1,FULL_COLOR,1,1,1,rogelio.rodriguez
34743,PRINTER,Building Permit 052417 100404957,OK,0,57,9,10,24,4,117,3,143,1,-0500,41,13,10,24,4,117,3,143,1,-0500,1,BLACK_AND_WHITE,2,2,2,george.martinez
34741,COPY,doc03474120170524095825,OK,0,25,58,9,24,4,117,3,143,1,-0500,32,58,9,24,4,117,3,143,1,-0500,1,BLACK_AND_WHITE,1,1,1,
34740,PRINTER,inspection_overview.pdf,OK,0,9,53,9,24,4,117,3,143,1,-0500,16,53,9,24,4,117,3,143,1,-0500,1,BLACK_AND_WHITE,1,1,1,anaisa.licerio
34739,PRINTER,Log In For Commercial Plans.xls,OK,0,4,30,9,24,4,117,3,143,1,-0500,9,31,9,24,4,117,3,143,1,-0500,20,BLACK_AND_WHITE,1,1,20,anaisa.licerio
34738,COPY,doc03473820170524092546,CANCEL,100,46,25,9,24,4,117,3,143,1,-0500,37,30,9,24,4,117,3,143,1,-0500,2,BLACK_AND_WHITE,27,30,54,
34737,COPY,doc03473720170524092505,OK,0,5,25,9,24,4,117,3,143,1,-0500,28,25,9,24,4,117,3,143,1,-0500,2,BLACK_AND_WHITE,1,1,2,
34736,COPY,doc03473620170524085454,OK,0,54,54,8,24,4,117,3,143,1,-0500,3,55,8,24,4,117,3,143,1,-0500,1,BLACK_AND_WHITE,3,3,3,
34735,COPY,doc03473520170524084901,OK,0,1,49,8,24,4,117,3,143,1,-0500,18,49,8,24,4,117,3,143,1,-0500,2,FULL_COLOR,1,1,2,
34734,COPY,doc03473420170524084847,OK,0,47,48,8,24,4,117,3,143,1,-0500,57,48,8,24,4,117,3,143,1,-0500,2,FULL_COLOR,1,1,2,
