common/job_number/__text,common/job_kind/__text,common/job_name/__text,common/job_result/__text,common/job_result_detail/__text,common/start_time/second/__text,common/start_time/minute/__text,common/start_time/hour/__text,common/start_time/day/__text,common/start_time/month/__text,common/start_time/year/__text,common/start_time/wday/__text,common/start_time/yday/__text,common/start_time/is_dst/__text,common/start_time/time_zone/__text,common/end_time/second/__text,common/end_time/minute/__text,common/end_time/hour/__text,common/end_time/day/__text,common/end_time/month/__text,common/end_time/year/__text,common/end_time/wday/__text,common/end_time/yday/__text,common/end_time/is_dst/__text,common/end_time/time_zone/__text,common/pages/__text,common/user_name/__text,detail/print_color_mode/__text,detail/complete_copies/__text,detail/copies/__text,detail/complete_pages/__text
55016,PRINTER,Mailing Labels 052417 104802308,OK,0,46,49,10,24,4,117,3,143,1,-0500,3,50,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
55015,COPY,doc05501520170524104649,OK,0,49,46,10,24,4,117,3,143,1,-0500,55,46,10,24,4,117,3,143,1,-0500,1,,BLACK_AND_WHITE,1,1,1
55014,PRINTER,ABC_RGV PIZZA H 052417 104349195,OK,0,34,45,10,24,4,117,3,143,1,-0500,41,45,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
55013,PRINTER,ABC_RGV PIZZA H 052417 104252517,OK,0,37,44,10,24,4,117,3,143,1,-0500,45,44,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
55012,PRINTER,ABC_RGV PIZZA H 052417 104230225,OK,0,15,44,10,24,4,117,3,143,1,-0500,21,44,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
55011,PRINTER,ABC_RGV PIZZA H 052417 104217124,OK,0,1,44,10,24,4,117,3,143,1,-0500,10,44,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
55010,PRINTER,ABC_RGV PIZZA H 052417 104148869,OK,0,33,43,10,24,4,117,3,143,1,-0500,42,43,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
55009,COPY,doc05500920170524103941,OK,0,41,39,10,24,4,117,3,143,1,-0500,48,39,10,24,4,117,3,143,1,-0500,1,,BLACK_AND_WHITE,1,1,1
55008,COPY,doc05500820170524103933,OK,0,33,39,10,24,4,117,3,143,1,-0500,41,39,10,24,4,117,3,143,1,-0500,2,,BLACK_AND_WHITE,1,1,2
55007,PRINTER,Mailing Labels 052417 103546755,OK,0,31,37,10,24,4,117,3,143,1,-0500,49,37,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
55006,PRINTER,Citation_Notice 052417 103250329,OK,0,35,34,10,24,4,117,3,143,1,-0500,44,34,10,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
55005,PRINTER,Notification_Le 052417 103236236,OK,0,21,34,10,24,4,117,3,143,1,-0500,29,34,10,24,4,117,3,143,1,-0500,1,della.robles,FULL_COLOR,1,1,1
55004,PRINTER,Mailing Labels 052417 103024186,OK,0,9,32,10,24,4,117,3,143,1,-0500,25,32,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,BLACK_AND_WHITE,1,1,1
55003,PRINTER,Growler Sales 052417 101657595,OK,0,43,18,10,24,4,117,3,143,1,-0500,0,19,10,24,4,117,3,143,1,-0500,7,maria.garcia,MIXED,1,1,7
55002,PRINTER,CUP_Radius.pdf 052417 101112601,OK,0,58,12,10,24,4,117,3,143,1,-0500,9,13,10,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
55000,PRINTER,CUP_Radius.pdf 052417 100108800,OK,0,54,2,10,24,4,117,3,143,1,-0500,5,3,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
54999,PRINTER,COZ_Radius.pdf 052417 100011444,OK,0,57,1,10,24,4,117,3,143,1,-0500,8,2,10,24,4,117,3,143,1,-0500,1,alexandra.esparza,FULL_COLOR,1,1,1
54998,PRINTER,CUP_Radius.pdf 052417 095743559,OK,0,29,59,9,24,4,117,3,143,1,-0500,38,59,9,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
54997,PRINTER,CUP_Aerial.pdf 052417 095705763,OK,0,52,58,9,24,4,117,3,143,1,-0500,0,59,9,24,4,117,3,143,1,-0500,1,rogelio.martinez,FULL_COLOR,1,1,1
